Bat,Rotor,Height,ResPolBat,ResPolRot,desC,operC,resC,c1,c2,c3,c_cum
0,0,10,0,0,0,4773803296,16377709.75,1,1,0,1
0,0,20,0,0,0,39198028.59,2697443.665,1,1,0,1
0,0,30,0,0,0,-398609.2292,2632873.413,0,0,0,0
0,0,40,0,0,0,-215047.2997,2633436.597,0,0,0,0
0,0,50,0,0,0,-146157.0108,3160656.432,0,0,0,0
0,0,60,0,0,0,-104104.3236,2583202.631,0,0,0,0
0,0,70,0,0,0,-76211.91837,2583298.38,0,0,0,0
0,0,80,0,0,0,-50591.5482,171426.3293,0,0,0,0
0,0,90,0,0,0,-45073.94673,171445.2702,0,0,0,0
0,0,100,0,0,0,-37171.5989,171472.3973,0,0,0,0
0,0,110,0,0,0,-30611.94654,171494.9153,0,0,1,1
0,0,120,0,0,0,-25630.20399,171512.0166,0,0,1,1
0,1,10,0,0,100000,4874403295,16727505.27,1,1,0,1
0,1,20,0,0,100000,4875201582,16730038.81,1,1,0,1
0,1,30,0,0,100000,39601390.77,2689943.131,1,1,0,1
0,1,40,0,0,100000,-215047.2997,2624674.879,0,0,0,0
0,1,50,0,0,100000,-146157.0108,3161895.087,0,0,0,0
0,1,60,0,0,100000,-104104.3236,2571561.59,0,0,0,0
0,1,70,0,0,100000,-76211.91837,2571657.618,0,0,0,0
0,1,80,0,0,100000,-50591.5482,173105.8234,0,0,0,0
0,1,90,0,0,100000,-45073.94673,173124.8194,0,0,0,0
0,1,100,0,0,100000,-37171.5989,173152.0256,0,0,0,0
0,1,110,0,0,100000,-30611.94654,173174.6092,0,0,1,1
0,1,120,0,0,100000,-25630.20399,173191.7603,0,0,1,1
0,2,10,0,0,200000,4974803295,17083575.62,1,1,0,1
0,2,20,0,0,200000,4975401582,17085531.98,1,1,0,1
0,2,30,0,0,200000,5975641341,19992121.74,1,1,0,1
0,2,40,0,0,200000,79784952.7,3013473.161,1,1,0,1
0,2,50,0,0,200000,79853842.99,3560693.743,1,1,0,1
0,2,60,0,0,200000,39895895.68,2701408.549,1,1,0,1
0,2,70,0,0,200000,39923788.08,2701504.855,1,1,0,1
0,2,80,0,0,200000,-50591.5482,174785.3175,0,0,0,0
0,2,90,0,0,200000,-45073.94673,174804.3687,0,0,0,0
0,2,100,0,0,200000,-37171.5989,174831.6539,0,0,0,0
0,2,110,0,0,200000,-30611.94654,174854.3031,0,0,1,1
0,2,120,0,0,200000,-25630.20399,174871.504,0,0,1,1
1,0,10,0,0,50000,5024003296,25889126.58,1,1,0,1
1,0,20,0,0,50000,59198028.59,4302524.398,1,1,0,1
1,0,30,0,0,50000,-398609.2292,593049.4579,0,0,0,0
1,0,40,0,0,50000,-215047.2997,550786.8043,0,0,0,0
1,0,50,0,0,50000,-146157.0108,618139.6653,0,0,0,0
1,0,60,0,0,50000,-104104.3236,530523.5712,0,0,0,0
1,0,70,0,0,50000,-76211.91837,530667.2952,0,0,0,0
1,0,80,0,0,50000,-50591.5482,216739.3119,0,0,0,0
1,0,90,0,0,50000,-45073.94673,216767.743,0,0,0,0
1,0,100,0,0,50000,-37171.5989,216808.4622,0,0,0,0
1,0,110,0,0,50000,-30611.94654,216842.2628,0,0,1,1
1,0,120,0,0,50000,-25630.20399,216867.9327,0,0,1,1
1,1,10,0,0,150000,5124603295,26413222.09,1,1,0,1
1,1,20,0,0,150000,5125294915,26416703,1,1,0,1
1,1,30,0,0,150000,129601390.8,5334989.939,1,1,0,1
1,1,40,0,0,150000,-215047.2997,508825.0867,0,0,0,0
1,1,50,0,0,150000,-146157.0108,586178.3206,0,0,0,0
1,1,60,0,0,150000,-104104.3236,484482.5302,0,0,0,0
1,1,70,0,0,150000,-76211.91837,484626.5331,0,0,0,0
1,1,80,0,0,150000,-50591.5482,218418.806,0,0,0,0
1,1,90,0,0,150000,-45073.94673,218447.2922,0,0,0,0
1,1,100,0,0,150000,-37171.5989,218488.0905,0,0,0,0
1,1,110,0,0,150000,-30611.94654,218521.9566,0,0,1,1
1,1,120,0,0,150000,-25630.20399,218547.6764,0,0,1,1
1,2,10,0,0,250000,5225003295,26943408.45,1,1,0,1
1,2,20,0,0,250000,5225494915,26945948.18,1,1,0,1
1,2,30,0,0,250000,5225647267,26946774.61,1,1,0,1
1,2,40,0,0,250000,129784952.7,4798101.369,1,1,0,1
1,2,50,0,0,250000,129853843,4885454.976,1,1,0,1
1,2,60,0,0,250000,59895895.68,704873.4892,1,1,0,1
1,2,70,0,0,250000,59923788.08,705017.771,1,1,0,1
1,2,80,0,0,250000,-50591.5482,220098.3,0,0,0,0
1,2,90,0,0,250000,-45073.94673,220126.8415,0,0,0,0
1,2,100,0,0,250000,-37171.5989,220167.7188,0,0,0,0
1,2,110,0,0,250000,-30611.94654,220201.6505,0,0,1,1
1,2,120,0,0,250000,-25630.20399,220227.4201,0,0,1,1
2,0,10,0,0,50000,5024003296,25806198.58,1,1,0,1
2,0,20,0,0,50000,59198028.59,5204425.909,1,1,0,1
2,0,30,0,0,50000,-398609.2292,5031926.153,0,0,0,0
2,0,40,0,0,50000,-215047.2997,5032746.626,0,0,0,0
2,0,50,0,0,50000,-146157.0108,6020070.419,0,0,0,0
2,0,60,0,0,50000,-104104.3236,4938523.571,0,0,0,0
2,0,70,0,0,50000,-76211.91837,4938667.295,0,0,0,0
2,0,80,0,0,50000,-50591.5482,216739.3119,0,0,0,0
2,0,90,0,0,50000,-45073.94673,216767.743,0,0,0,0
2,0,100,0,0,50000,-37171.5989,216808.4622,0,0,0,0
2,0,110,0,0,50000,-30611.94654,216842.2628,0,0,1,1
2,0,120,0,0,50000,-25630.20399,216867.9327,0,0,1,1
2,1,10,0,0,150000,5124603295,26344430.09,1,1,0,1
2,1,20,0,0,150000,5125294915,26347708.33,1,1,0,1
2,1,30,0,0,150000,129601390.8,5537117.87,1,1,0,1
2,1,40,0,0,150000,-215047.2997,5082784.909,0,0,0,0
2,1,50,0,0,150000,-146157.0108,6080109.074,0,0,0,0
2,1,60,0,0,150000,-104104.3236,4984482.53,0,0,0,0
2,1,70,0,0,150000,-76211.91837,4984626.533,0,0,0,0
2,1,80,0,0,150000,-50591.5482,218418.806,0,0,0,0
2,1,90,0,0,150000,-45073.94673,218447.2922,0,0,0,0
2,1,100,0,0,150000,-37171.5989,218488.0905,0,0,0,0
2,1,110,0,0,150000,-30611.94654,218521.9566,0,0,1,1
2,1,120,0,0,150000,-25630.20399,218547.6764,0,0,1,1
2,2,10,0,0,250000,5225003295,26895992.45,1,1,0,1
2,2,20,0,0,250000,5225494915,26898441.51,1,1,0,1
2,2,30,0,0,250000,5225647267,26899247.5,1,1,0,1
2,2,40,0,0,250000,129784952.7,5830861.191,1,1,0,1
2,2,50,0,0,250000,129853843,6838185.729,1,1,0,1
2,2,60,0,0,250000,59895895.68,5292073.489,1,1,0,1
2,2,70,0,0,250000,59923788.08,5292217.771,1,1,0,1
2,2,80,0,0,250000,-50591.5482,220098.3,0,0,0,0
2,2,90,0,0,250000,-45073.94673,220126.8415,0,0,0,0
2,2,100,0,0,250000,-37171.5989,220167.7188,0,0,0,0
2,2,110,0,0,250000,-30611.94654,220201.6505,0,0,1,1
2,2,120,0,0,250000,-25630.20399,220227.4201,0,0,1,1
3,0,10,0,0,100000,5524003296,47417581.92,1,1,0,1
3,0,20,0,0,100000,99198028.59,9081652.974,1,1,0,1
3,0,30,0,0,100000,-398609.2292,804278.2421,0,0,0,0
3,0,40,0,0,100000,-215047.2997,676247.0416,0,0,0,0
3,0,50,0,0,100000,-146157.0108,743836.8852,0,0,0,0
3,0,60,0,0,100000,-104104.3236,670765.4524,0,0,0,0
3,0,70,0,0,100000,-76211.91837,671005.1262,0,0,0,0
3,0,80,0,0,100000,-50591.5482,328965.2769,0,0,0,0
3,0,90,0,0,100000,-45073.94673,329012.6886,0,0,0,0
3,0,100,0,0,100000,-37171.5989,329080.5919,0,0,0,0
3,0,110,0,0,100000,-30611.94654,329136.9577,0,0,1,1
3,0,120,0,0,100000,-25630.20399,329179.7648,0,0,1,1
3,1,10,0,0,200000,5624603295,48261501.43,1,1,0,1
3,1,20,0,0,200000,5625301582,48267341.55,1,1,0,1
3,1,30,0,0,200000,5529601391,49029587.49,1,1,0,1
3,1,40,0,0,200000,99784952.7,1357665.324,1,1,0,1
3,1,50,0,0,200000,99853842.99,1435255.54,1,1,0,1
3,1,60,0,0,200000,-104104.3236,604724.4113,0,0,0,0
3,1,70,0,0,200000,-76211.91837,604964.3641,0,0,0,0
3,1,80,0,0,200000,-50591.5482,330644.771,0,0,0,0
3,1,90,0,0,200000,-45073.94673,330692.2379,0,0,0,0
3,1,100,0,0,200000,-37171.5989,330760.2202,0,0,0,0
3,1,110,0,0,200000,-30611.94654,330816.6515,0,0,1,1
3,1,120,0,0,200000,-25630.20399,330859.5085,0,0,1,1
3,2,10,0,0,300000,5725003295,49225695.78,1,1,0,1
3,2,20,0,0,300000,5725494915,49229921.88,1,1,0,1
3,2,30,0,0,300000,5725647267,49231235.61,1,1,0,1
3,2,40,0,0,300000,229784952.7,2563317.606,1,1,0,1
3,2,50,0,0,300000,229853843,2650908.196,1,1,0,1
3,2,60,0,0,300000,99895895.68,1368203.37,1,1,0,1
3,2,70,0,0,300000,99923788.08,1368443.602,1,1,0,1
3,2,80,0,0,300000,-50591.5482,332324.2651,0,0,0,0
3,2,90,0,0,300000,-45073.94673,332371.7871,0,0,0,0
3,2,100,0,0,300000,-37171.5989,332439.8485,0,0,0,0
3,2,110,0,0,300000,-30611.94654,332496.3454,0,0,1,1
3,2,120,0,0,300000,-25630.20399,332539.2522,0,0,1,1
0,0,10,1,1,0,78203295.52,2797523.952,1,1,0,1
0,0,20,1,1,0,39198028.59,2863005.898,1,1,0,1
0,0,30,1,1,0,-398609.2292,2802563.938,0,0,0,0
0,0,40,1,1,0,-215047.2997,2802761.256,0,0,0,0
0,0,50,1,1,0,-146157.0108,3269890.095,0,0,0,0
0,0,60,1,1,0,-104104.3236,2752402.631,0,0,0,0
0,0,70,1,1,0,-76211.91837,2752498.38,0,0,0,0
0,0,80,1,1,0,-50591.5482,171426.3293,0,0,0,0
0,0,90,1,1,0,-45073.94673,171445.2702,0,0,0,0
0,0,100,1,1,0,-37171.5989,171472.3973,0,0,0,0
0,0,110,1,1,0,-30611.94654,171494.9153,0,0,1,1
0,0,120,1,1,0,-25630.20399,171512.0166,0,0,1,1
0,1,10,1,1,100000,78803295.44,2855041.465,1,1,0,1
0,1,20,1,1,100000,79394914.93,2856417.735,1,1,0,1
0,1,30,1,1,100000,79602822.95,2795853.692,1,1,0,1
0,1,40,1,1,100000,-215047.2997,2793999.539,0,0,0,0
0,1,50,1,1,100000,-146157.0108,3271128.75,0,0,0,0
0,1,60,1,1,100000,-104104.3236,2740761.59,0,0,0,0
0,1,70,1,1,100000,-76211.91837,2740857.618,0,0,0,0
0,1,80,1,1,100000,-50591.5482,173105.8234,0,0,0,0
0,1,90,1,1,100000,-45073.94673,173124.8194,0,0,0,0
0,1,100,1,1,100000,-37171.5989,173152.0256,0,0,0,0
0,1,110,1,1,100000,-30611.94654,173174.6092,0,0,1,1
0,1,120,1,1,100000,-25630.20399,173191.7603,0,0,1,1
0,2,10,1,1,200000,79203295.37,2919409.818,1,1,0,1
0,2,20,1,1,200000,79594914.92,2920784.911,1,1,0,1
0,2,30,1,1,200000,79713934.06,2861671.054,1,1,0,1
0,2,40,1,1,200000,79785737.29,2860397.841,1,1,0,1
0,2,50,1,1,200000,79853798.06,3347527.404,1,1,0,1
0,2,60,1,1,200000,39895895.68,2805808.549,1,1,0,1
0,2,70,1,1,200000,39923788.08,2805904.855,1,1,0,1
0,2,80,1,1,200000,-50591.5482,174785.3175,0,0,0,0
0,2,90,1,1,200000,-45073.94673,174804.3687,0,0,0,0
0,2,100,1,1,200000,-37171.5989,174831.6539,0,0,0,0
0,2,110,1,1,200000,-30611.94654,174854.3031,0,0,1,1
0,2,120,1,1,200000,-25630.20399,174871.504,0,0,1,1
1,0,10,1,1,50000,128403295.5,1004168.78,1,1,0,1
1,0,20,1,1,50000,129198028.6,1074161.618,1,1,0,1
1,0,30,1,1,50000,-398609.2292,1071711.283,0,0,0,0
1,0,40,1,1,50000,-215047.2997,1072005.824,0,0,0,0
1,0,50,1,1,50000,-146157.0108,1139198.809,0,0,0,0
1,0,60,1,1,50000,-104104.3236,1065923.571,0,0,0,0
1,0,70,1,1,50000,-76211.91837,1066067.295,0,0,0,0
1,0,80,1,1,50000,-50591.5482,216739.3119,0,0,0,0
1,0,90,1,1,50000,-45073.94673,216767.743,0,0,0,0
1,0,100,1,1,50000,-37171.5989,216808.4622,0,0,0,0
1,0,110,1,1,50000,-30611.94654,216842.2628,0,0,1,1
1,0,120,1,1,50000,-25630.20399,216867.9327,0,0,1,1
1,1,10,1,1,150000,128803295.4,1016961.193,1,1,0,1
1,1,20,1,1,150000,129401581.6,1019022.653,1,1,0,1
1,1,30,1,1,150000,129641341.5,1018704.018,1,1,0,1
1,1,40,1,1,150000,-215047.2997,1015644.107,0,0,0,0
1,1,50,1,1,150000,-146157.0108,1092837.464,0,0,0,0
1,1,60,1,1,150000,-104104.3236,1005482.53,0,0,0,0
1,1,70,1,1,150000,-76211.91837,1005626.533,0,0,0,0
1,1,80,1,1,150000,-50591.5482,218418.806,0,0,0,0
1,1,90,1,1,150000,-45073.94673,218447.2922,0,0,0,0
1,1,100,1,1,150000,-37171.5989,218488.0905,0,0,0,0
1,1,110,1,1,150000,-30611.94654,218521.9566,0,0,1,1
1,1,120,1,1,150000,-25630.20399,218547.6764,0,0,1,1
1,2,10,1,1,250000,129203295.4,1036717.546,1,1,0,1
1,2,20,1,1,250000,129594914.9,1038777.659,1,1,0,1
1,2,30,1,1,250000,129713934.1,1039656.4,1,1,0,1
1,2,40,1,1,250000,129785737.3,1038720.409,1,1,0,1
1,2,50,1,1,250000,129853798.1,1125914.118,1,1,0,1
1,2,60,1,1,250000,59895895.68,1026673.489,1,1,0,1
1,2,70,1,1,250000,59923788.08,1026817.771,1,1,0,1
1,2,80,1,1,250000,-50591.5482,220098.3,0,0,0,0
1,2,90,1,1,250000,-45073.94673,220126.8415,0,0,0,0
1,2,100,1,1,250000,-37171.5989,220167.7188,0,0,0,0
1,2,110,1,1,250000,-30611.94654,220201.6505,0,0,1,1
1,2,120,1,1,250000,-25630.20399,220227.4201,0,0,1,1
2,0,10,1,1,50000,128403295.5,6336888.78,1,1,0,1
2,0,20,1,1,50000,129198028.6,6406881.618,1,1,0,1
2,0,30,1,1,50000,-398609.2292,5604431.283,0,0,0,0
2,0,40,1,1,50000,-215047.2997,5604725.824,0,0,0,0
2,0,50,1,1,50000,-146157.0108,5671918.809,0,0,0,0
2,0,60,1,1,50000,-104104.3236,5390323.571,0,0,0,0
2,0,70,1,1,50000,-76211.91837,5390467.295,0,0,0,0
2,0,80,1,1,50000,-50591.5482,216739.3119,0,0,0,0
2,0,90,1,1,50000,-45073.94673,216767.743,0,0,0,0
2,0,100,1,1,50000,-37171.5989,216808.4622,0,0,0,0
2,0,110,1,1,50000,-30611.94654,216842.2628,0,0,1,1
2,0,120,1,1,50000,-25630.20399,216867.9327,0,0,1,1
2,1,10,1,1,150000,128803295.4,6456081.193,1,1,0,1
2,1,20,1,1,150000,129401581.6,6458142.653,1,1,0,1
2,1,30,1,1,150000,129641341.5,5657824.018,1,1,0,1
2,1,40,1,1,150000,-215047.2997,5654764.107,0,0,0,0
2,1,50,1,1,150000,-146157.0108,5731957.464,0,0,0,0
2,1,60,1,1,150000,-104104.3236,5436282.53,0,0,0,0
2,1,70,1,1,150000,-76211.91837,5436426.533,0,0,0,0
2,1,80,1,1,150000,-50591.5482,218418.806,0,0,0,0
2,1,90,1,1,150000,-45073.94673,218447.2922,0,0,0,0
2,1,100,1,1,150000,-37171.5989,218488.0905,0,0,0,0
2,1,110,1,1,150000,-30611.94654,218521.9566,0,0,1,1
2,1,120,1,1,150000,-25630.20399,218547.6764,0,0,1,1
2,2,10,1,1,250000,129203295.4,6589437.546,1,1,0,1
2,2,20,1,1,250000,129594914.9,6591497.659,1,1,0,1
2,2,30,1,1,250000,129713934.1,5792376.4,1,1,0,1
2,2,40,1,1,250000,129785737.3,5791440.409,1,1,0,1
2,2,50,1,1,250000,129853798.1,5878634.118,1,1,0,1
2,2,60,1,1,250000,59895895.68,5571073.489,1,1,0,1
2,2,70,1,1,250000,59923788.08,5571217.771,1,1,0,1
2,2,80,1,1,250000,-50591.5482,220098.3,0,0,0,0
2,2,90,1,1,250000,-45073.94673,220126.8415,0,0,0,0
2,2,100,1,1,250000,-37171.5989,220167.7188,0,0,0,0
2,2,110,1,1,250000,-30611.94654,220201.6505,0,0,1,1
2,2,120,1,1,250000,-25630.20399,220227.4201,0,0,1,1
3,0,10,1,1,100000,228403295.5,2349768.116,1,1,0,1
3,0,20,1,1,100000,229201581.6,2426753.149,1,1,0,1
3,0,30,1,1,100000,-398609.2292,2422325.971,0,0,0,0
3,0,40,1,1,100000,-215047.2997,2422814.961,0,0,0,0
3,0,50,1,1,100000,-146157.0108,2490136.237,0,0,0,0
3,0,60,1,1,100000,-104104.3236,2416965.452,0,0,0,0
3,0,70,1,1,100000,-76211.91837,2417205.126,0,0,0,0
3,0,80,1,1,100000,-50591.5482,328965.2769,0,0,0,0
3,0,90,1,1,100000,-45073.94673,329012.6886,0,0,0,0
3,0,100,1,1,100000,-37171.5989,329080.5919,0,0,0,0
3,0,110,1,1,100000,-30611.94654,329136.9577,0,0,1,1
3,0,120,1,1,100000,-25630.20399,329179.7648,0,0,1,1
3,1,10,1,1,200000,228803295.4,2336320.529,1,1,0,1
3,1,20,1,1,200000,229401581.6,2339752.096,1,1,0,1
3,1,30,1,1,200000,229641341.5,2341188.707,1,1,0,1
3,1,40,1,1,200000,99784952.7,2337033.243,1,1,0,1
3,1,50,1,1,200000,99853842.99,2414354.892,1,1,0,1
3,1,60,1,1,200000,-104104.3236,2322124.411,0,0,0,0
3,1,70,1,1,200000,-76211.91837,2322364.364,0,0,0,0
3,1,80,1,1,200000,-50591.5482,330644.771,0,0,0,0
3,1,90,1,1,200000,-45073.94673,330692.2379,0,0,0,0
3,1,100,1,1,200000,-37171.5989,330760.2202,0,0,0,0
3,1,110,1,1,200000,-30611.94654,330816.6515,0,0,1,1
3,1,120,1,1,200000,-25630.20399,330859.5085,0,0,1,1
3,2,10,1,1,300000,229203295.4,2387252.882,1,1,0,1
3,2,20,1,1,300000,229594914.9,2390683.1,1,1,0,1
3,2,30,1,1,300000,229713934.1,2392147.089,1,1,0,1
3,2,40,1,1,300000,229785737.3,2391285.546,1,1,0,1
3,2,50,1,1,300000,229853798.1,2478607.546,1,1,0,1
3,2,60,1,1,300000,99895895.68,2376003.37,1,1,0,1
3,2,70,1,1,300000,99923788.08,2376243.602,1,1,0,1
3,2,80,1,1,300000,-50591.5482,332324.2651,0,0,0,0
3,2,90,1,1,300000,-45073.94673,332371.7871,0,0,0,0
3,2,100,1,1,300000,-37171.5989,332439.8485,0,0,0,0
3,2,110,1,1,300000,-30611.94654,332496.3454,0,0,1,1
